Lepiota cristata,No comestible,Tóxico
Lepiota magnispora,No comestible,Tóxico
Lepista nuda,Comestible,No tóxico
Lepista ovispora,Comestible,No tóxico
Leucoagaricus rubrotinctus,Comestible,No tóxico
Leucocoprinus birnbaumii,No comestible,Tóxico
Leucocybe connata,Comestible,No tóxico
Lycoperdon candidum,Comestible,No tóxico
Lycoperdon caudatum,Comestible,No tóxico
Lycoperdon curtisii,Comestible,No tóxico
Lycoperdon marginatum,Comestible,No tóxico
Lycoperdon peckii,Comestible,No tóxico
Lycoperdon perlatum,Comestible,No tóxico
Lycoperdon pratense,Comestible,No tóxico
Lycoperdon pyriforme,Comestible,No tóxico
Lycoperdon umbrinum,Comestible,No tóxico
Lyophyllum aggregatum,Comestible,No tóxico
Lyophyllum decastes,Comestible,No tóxico
Lyophyllum fumosum,Comestible,No tóxico
Lyophyllum loricatum,Comestible,No tóxico
Macrolepiota procera,Comestible,No tóxico
Marasmius oreades,Comestible,No tóxico
Melanoleuca melaleuca,Comestible,No tóxico
Melanoleuca polioleuca,Comestible,No tóxico
Montagnea arenaria,Comestible,No tóxico
Morchella angusticeps,Comestible,No tóxico
Morchella brunnea,Comestible,No tóxico
Morchella costata,Comestible,No tóxico
Morchella crassipes,Comestible,No tóxico
Morchella deliciosa,Comestible,No tóxico
Morchella elata,Comestible,No tóxico
Morchella esculenta,Comestible,No tóxico
Morchella esculenta var. umbrina,Comestible,No tóxico
Morchella snyderi,Comestible,No tóxico
Morchella vulgaris,Comestible,No tóxico
Mycena pura,Comestible,No tóxico
Mycena rosea,No comestible,Tóxico
Mycenastrum corium,No comestible,Tóxico
Neolentinus lepideus,Comestible,No tóxico
Neolentinus ponderosus,Comestible,No tóxico
Omphalotus mexicanus,No comestible,Tóxico
Omphalotus olearius,No comestible,Tóxico
Omphalotus subilludens,No comestible,Tóxico
Otidea abietina,Comestible,No tóxico
Oudemansiella canarii,Comestible,No tóxico
Panaeolus cyanescens,No comestible,Tóxico
Panaeolus foenisecii,No comestible,Tóxico
Panaeolus papilionaceus,No comestible,Tóxico
Panaeolus semiovatus,No comestible,Tóxico
Panaeolus subbalteatus,No comestible,Tóxico
Panellus stipticus,No comestible,Tóxico
Paxillus involutus,No comestible,Tóxico
Phaeolus shweinitzii,Comestible,No tóxico
Phillipsia dominguensis,Comestible,No tóxico
Pholiota carbonaria,No comestible,Tóxico
Pholiota lenta,Comestible,No tóxico
Pleorotus opuntiae,Comestible,No tóxico
Pleurotus albidus,Comestible,No tóxico
Pleurotus cornucopiae,Comestible,No tóxico
Pleurotus djamor,Comestible,No tóxico
Pleurotus djamor var. roseus Corner,Comestible,No tóxico
